Relazione,Tipo1,Tipo2
leader_of,Person,Organization
leader_of,Person,Party
leader_of,Politician,Organization
leader_of,Politician,Party
is_from,Person,Location
is_from,Politician,Location
part_of,Organization,Organization
part_of,Party,Organization
part_of,Organization,Party
part_of,Party,Party
part_of,Location,Location
part_of,Organization,Event
part_of,Party,Event
located_in,Organization,Location
located_in,Party,Location
located_in,Event,Location
located_in,Person,Location
located_in,Location,Location
member_of,Politician,Organization
member_of,Person,Organization
member_of,Politician,Party
member_of,Person,Party
member_of,Person,Event
member_of,Politician,Event
supports,Person,Person
supports,Politician,Person
supports,Organization,Person
supports,Party,Person
supports,Event,Person
supports,Agreement,Person
supports,Person,Politician
supports,Politician,Politician
supports,Organization,Politician
supports,Party,Politician
supports,Event,Politician
supports,Agreement,Politician
supports,Person,Organization
supports,Politician,Organization
supports,Organization,Organization
supports,Party,Organization
supports,Event,Organization
supports,Agreement,Organization
supports,Person,Party
supports,Politician,Party
supports,Organization,Party
supports,Party,Party
supports,Event,Party
supports,Agreement,Party
supports,Person,Event
supports,Politician,Event
supports,Organization,Event
supports,Party,Event
supports,Event,Event
supports,Agreement,Event
supports,Person,Agreement
supports,Politician,Agreement
supports,Organization,Agreement
supports,Party,Agreement
supports,Event,Agreement
supports,Agreement,Agreement
president_of,Politician,Organization
president_of,Politician,Party
president_of,Politician,Event
president_of,Person,Organization
president_of,Person,Party
president_of,Person,Event
opposition,Person,Person
opposition,Politician,Person
opposition,Organization,Person
opposition,Party,Person
opposition,Event,Person
opposition,Agreement,Person
opposition,Person,Politician
opposition,Politician,Politician
opposition,Organization,Politician
opposition,Party,Politician
opposition,Event,Politician
opposition,Agreement,Politician
opposition,Person,Organization
opposition,Politician,Organization
opposition,Organization,Organization
opposition,Party,Organization
opposition,Event,Organization
opposition,Agreement,Organization
opposition,Person,Party
opposition,Politician,Party
opposition,Organization,Party
opposition,Party,Party
opposition,Event,Party
opposition,Agreement,Party
opposition,Person,Event
opposition,Politician,Event
opposition,Organization,Event
opposition,Party,Event
opposition,Event,Event
opposition,Agreement,Event
opposition,Person,Agreement
opposition,Politician,Agreement
opposition,Organization,Agreement
opposition,Party,Agreement
opposition,Event,Agreement
opposition,Agreement,Agreement
colleague,Person,Person
colleague,Politician,Person
colleague,Person,Politician
colleague,Politician,Politician
